#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.59557     1.59557           0
           2     1.59616     1.59587 0.000208008
           3     1.59635     1.59603 0.000191969
           4     1.59639     1.59612 0.000163854
           5     1.59626     1.59615  0.00013359
           6     1.59642     1.59619 0.000118898
           7     1.59637     1.59622 0.000104471
           8     1.59635     1.59624 9.26697e-05
           9      1.5963     1.59624 8.26639e-05
          10     1.59636     1.59625 7.51639e-05
          11     1.59647     1.59627 7.08707e-05
          12      1.5964     1.59628 6.57187e-05
          13     1.59639     1.59629 6.11705e-05
          14     1.59638      1.5963 5.71516e-05
          15     1.59629      1.5963 5.33476e-05
          16     1.59636      1.5963 5.01491e-05
          17     1.59635      1.5963 4.72814e-05
          18     1.59637     1.59631 4.47878e-05
          19     1.59628     1.59631 4.24542e-05
          20     1.59628     1.59631 4.03541e-05
          21     1.59623      1.5963 3.85982e-05
          22     1.59638     1.59631 3.70075e-05
          23     1.59631     1.59631 3.53985e-05
          24     1.59638     1.59631 3.40442e-05
          25     1.59635     1.59631 3.27314e-05
          26     1.59629     1.59631 3.14779e-05
          27     1.59642     1.59631 3.05658e-05
          28     1.59626     1.59631 2.95285e-05
          29     1.59624     1.59631  2.8623e-05
          30     1.59628     1.59631 2.76808e-05
          31     1.59633     1.59631 2.67943e-05
          32     1.59628     1.59631 2.59722e-05
          33     1.59626     1.59631 2.52179e-05
          34     1.59634     1.59631 2.44925e-05
          35     1.59628     1.59631 2.38103e-05
          36     1.59644     1.59631 2.34212e-05
          37     1.59638     1.59631 2.28545e-05
          38     1.59633     1.59631  2.2256e-05
          39     1.59636     1.59631 2.17236e-05
          40     1.59639     1.59632 2.12536e-05
