#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1 9.76739e+08 9.76739e+08           0
           2 9.76739e+08 9.76739e+08           0
           3 9.76739e+08 9.76739e+08      9.2376
           4 9.76739e+08 9.76739e+08           0
           5 9.76739e+08 9.76739e+08           0
           6 9.76739e+08 9.76739e+08     6.53197
           7 9.76739e+08 9.76739e+08     7.40656
           8 9.76739e+08 9.76739e+08      6.9282
           9 9.76739e+08 9.76739e+08     3.77124
          10 9.76739e+08 9.76739e+08     3.57771
          11 9.76739e+08 9.76739e+08     5.90839
          12 9.76739e+08 9.76739e+08      4.6188
          13 9.76739e+08 9.76739e+08      4.4376
          14 9.76739e+08 9.76739e+08     4.27618
          15 9.76739e+08 9.76739e+08     2.92119
          16 9.76739e+08 9.76739e+08     2.82843
          17 9.76739e+08 9.76739e+08     2.74398
          18 9.76739e+08 9.76739e+08     2.66667
          19 9.76739e+08 9.76739e+08     5.19109
          20 9.76739e+08 9.76739e+08     5.05964
          21 9.76739e+08 9.76739e+08     5.52052
          22 9.76739e+08 9.76739e+08      5.3936
          23 9.76739e+08 9.76739e+08     6.24152
          24 9.76739e+08 9.76739e+08      6.1101
          25 9.76739e+08 9.76739e+08     6.78823
          26 9.76739e+08 9.76739e+08     7.01646
          27 9.76739e+08 9.76739e+08     7.54247
          28 9.76739e+08 9.76739e+08     7.40656
          29 9.76739e+08 9.76739e+08     7.27774
          30 9.76739e+08 9.76739e+08     7.15542
          31 9.76739e+08 9.76739e+08     7.60306
          32 9.76739e+08 9.76739e+08     7.48331
          33 9.76739e+08 9.76739e+08     7.36906
          34 9.76739e+08 9.76739e+08     7.25988
          35 9.76739e+08 9.76739e+08     7.64946
          36 9.76739e+08 9.76739e+08     7.54247
          37 9.76739e+08 9.76739e+08     7.43985
          38 9.76739e+08 9.76739e+08      7.3413
          39 9.76739e+08 9.76739e+08     7.24657
          40 9.76739e+08 9.76739e+08     7.15542
          41 9.76739e+08 9.76739e+08     6.84319
          42 9.76739e+08 9.76739e+08     6.53197
          43 9.76739e+08 9.76739e+08     6.45557
          44 9.76739e+08 9.76739e+08     6.14965
          45 9.76739e+08 9.76739e+08     6.08094
          46 9.76739e+08 9.76739e+08     5.77852
          47 9.76739e+08 9.76739e+08     6.17476
          48 9.76739e+08 9.76739e+08     5.88784
          49 9.76739e+08 9.76739e+08     5.82745
          50 9.76739e+08 9.76739e+08     5.54256
