#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1-6.48759e-10-6.48759e-10           0
           2-6.48759e-10-6.48759e-10           0
           3-6.48759e-10-6.48759e-10           0
           4-6.48759e-10-6.48759e-10           0
           5-6.48759e-10-6.48759e-10 3.10317e-18
           6-6.48759e-10-6.48759e-10           0
           7-6.48759e-10-6.48759e-10           0
           8-6.48759e-10-6.48759e-10           0
           9-6.48759e-10-6.48759e-10 2.31296e-18
          10-6.48759e-10-6.48759e-10 2.19427e-18
          11-6.48759e-10-6.48759e-10           0
          12-6.48759e-10-6.48759e-10           0
          13-6.48759e-10-6.48759e-10           0
          14-6.48759e-10-6.48759e-10           0
          15-6.48759e-10-6.48759e-10           0
          16-6.48759e-10-6.48759e-10           0
          17-6.48759e-10-6.48759e-10 1.68293e-18
          18-6.48759e-10-6.48759e-10 1.63551e-18
          19-6.48759e-10-6.48759e-10 1.59189e-18
          20-6.48759e-10-6.48759e-10 1.55158e-18
          21-6.48759e-10-6.48759e-10 1.51419e-18
          22-6.48759e-10-6.48759e-10           0
          23-6.48759e-10-6.48759e-10           0
          24-6.48759e-10-6.48759e-10           0
          25-6.48759e-10-6.48759e-10           0
          26-6.48759e-10-6.48759e-10           0
          27-6.48759e-10-6.48759e-10           0
          28-6.48759e-10-6.48759e-10           0
          29-6.48759e-10-6.48759e-10           0
          30-6.48759e-10-6.48759e-10           0
          31-6.48759e-10-6.48759e-10           0
          32-6.48759e-10-6.48759e-10           0
          33-6.48759e-10-6.48759e-10           0
          34-6.48759e-10-6.48759e-10 1.19001e-18
          35-6.48759e-10-6.48759e-10 1.65871e-18
          36-6.48759e-10-6.48759e-10 2.00309e-18
          37-6.48759e-10-6.48759e-10 1.97583e-18
          38-6.48759e-10-6.48759e-10 2.25127e-18
          39-6.48759e-10-6.48759e-10 2.48452e-18
          40-6.48759e-10-6.48759e-10 2.45327e-18
          41-6.48759e-10-6.48759e-10 2.65445e-18
          42-6.48759e-10-6.48759e-10 2.83279e-18
          43-6.48759e-10-6.48759e-10 2.79966e-18
          44-6.48759e-10-6.48759e-10 2.95875e-18
          45-6.48759e-10-6.48759e-10 2.92569e-18
          46-6.48759e-10-6.48759e-10 3.06925e-18
          47-6.48759e-10-6.48759e-10 2.67788e-18
          48-6.48759e-10-6.48759e-10 2.23952e-18
          49-6.48759e-10-6.48759e-10 2.21655e-18
          50-6.48759e-10-6.48759e-10 1.69967e-18
