#      step        H        error
228           -0.407064          0.00374781
229           -0.402021          0.00525554
230           -0.427625          0.00337173
231           -0.408508          0.00426291
232           -0.418085          0.00341312
233           -0.421343          0.00279069
234           -0.391081          0.00420643
235           -0.406551          0.00314184
236           -0.445745          0.00249361
237           -0.443322          0.00306683
238           -0.411224          0.00370056
239           -0.440835          0.00272648
240           -0.417288          0.00493241
241           -0.401278          0.00571124
242           -0.402594          0.00445929
243           -0.427101          0.00384667
244           -0.435413           0.0031681
245           -0.436277          0.00273406
246            -0.38273          0.00511525
247           -0.409615          0.00405139
248           -0.434419          0.00285407
249           -0.438174          0.00231429
250           -0.415537          0.00253304
251           -0.396174          0.00320225
252           -0.344488          0.00431396
253           -0.274257          0.00960952
254           -0.356252           0.0047487
255           -0.432828          0.00267551
256           -0.418742          0.00262392
257           -0.403868          0.00313704
258           -0.423402          0.00269186
259           -0.420267          0.00303121
260           -0.433227          0.00337808
261           -0.422097          0.00413013
262           -0.394309          0.00496145
263           -0.377452          0.00462554
264           -0.395763          0.00532519
265           -0.378298           0.0068013
266           -0.392738          0.00466454
267            -0.35249          0.00723656
268           -0.369571          0.00519225
269           -0.340209          0.00821671
270           -0.313086          0.00696651
271             -0.3445          0.00645112
272           -0.331872          0.00676097
273           -0.312269          0.00688305
274            -0.35277          0.00722672
275           -0.381863          0.00633402
276           -0.383528          0.00619081
277           -0.369297          0.00649144
278            -0.36877          0.00612879
279           -0.424073          0.00327743
280           -0.433451          0.00307533
281           -0.435441          0.00315855
282           -0.432442          0.00365218
283           -0.441847          0.00322578
284            -0.41607           0.0042053
285           -0.431279          0.00297614
286           -0.428209          0.00266764
287           -0.431491          0.00244351
288           -0.418138          0.00275303
289           -0.403588          0.00299631
290           -0.393203          0.00272651
291           -0.378974          0.00279679
292           -0.405646          0.00278376
293           -0.396303          0.00340398
294           -0.417783          0.00262034
295            -0.42049           0.0027812
296           -0.415704          0.00433955
297           -0.429954          0.00417788
298           -0.426923           0.0034056
299           -0.441424          0.00240464
300           -0.434817          0.00269729
301           -0.422049          0.00352204
302           -0.439135           0.0028235
303           -0.427608          0.00349919
304           -0.428348          0.00336888
305           -0.432038          0.00381654
306           -0.427396          0.00300354
307           -0.426051          0.00322951
308           -0.416436          0.00371811
309           -0.427726          0.00362613
310           -0.437842          0.00308512
311           -0.447135          0.00254686
312           -0.436937          0.00259953
313           -0.444592           0.0026844
314           -0.425699          0.00231707
315           -0.435618          0.00275016
316           -0.418529          0.00264644
317           -0.421263          0.00297891
318           -0.416607          0.00297489
319           -0.426669           0.0033879
320           -0.433743          0.00278886
321           -0.429632          0.00290399
322            -0.44008          0.00260149
323           -0.437341          0.00306122
324           -0.442029          0.00286265
325           -0.408486           0.0047395
326           -0.441518           0.0027507
327           -0.433471          0.00329454
328           -0.429054            0.004422
329           -0.428687          0.00324921
330           -0.429543          0.00300644
331           -0.437035          0.00260127
332           -0.431945          0.00316005
333           -0.428183          0.00344506
334           -0.427913          0.00293671
335             -0.4266          0.00238906
336           -0.436379          0.00287621
337           -0.435452          0.00230973
338           -0.445968          0.00232483
339           -0.444349          0.00263338
340           -0.440989          0.00290965
341           -0.444034          0.00255881
342           -0.440718          0.00230028
343           -0.443265          0.00271658
344           -0.437502          0.00321784
345           -0.438944          0.00261653
346           -0.439502          0.00281549
347           -0.441135          0.00269235
348           -0.431311           0.0026852
349           -0.443239          0.00288476
350           -0.446748          0.00257202
351           -0.440419          0.00232501
352           -0.405753          0.00472526
353           -0.440941          0.00237752
354           -0.432185          0.00313349
355           -0.441364          0.00239537
356            -0.44354          0.00265463
357           -0.423728          0.00387931
358           -0.404873          0.00412457
359            -0.44657          0.00226109
360           -0.444502          0.00256887
361            -0.43424          0.00289106
362           -0.431094           0.0036223
363           -0.399843          0.00406758
364           -0.387265          0.00399445
