#      step        mu        sigma
264            0.816906            0.702071
265            0.800506            0.723654
266            0.765327            0.712131
267            0.788051            0.750836
268            0.750133            0.745316
269            0.756533             0.76163
270            0.744295            0.790639
271            0.747439            0.768376
272            0.753269            0.783993
273            0.716714            0.804774
274            0.758524            0.758853
275            0.844951            0.706937
276            0.836399            0.700721
277            0.868149            0.703228
278            0.841986            0.712387
279            0.789236            0.674694
280            0.763051            0.645602
281            0.796901            0.658276
282            0.811809            0.669279
283            0.800009            0.637919
284            0.786465             0.67966
285            0.753698            0.655381
286            0.740306            0.611269
287            0.741578            0.611575
288            0.711384             0.60182
289            0.703489            0.583859
290            0.679252            0.613238
291            0.664401            0.603201
292            0.701494            0.596809
293            0.689751            0.581739
294            0.708413            0.608913
295            0.726771            0.656721
296            0.770065            0.687789
297            0.790759            0.661816
298            0.772473            0.663922
299            0.764254            0.626944
300            0.749935            0.630185
301            0.779324            0.682891
302            0.764064            0.634782
303            0.784095            0.659945
304            0.772541            0.669212
305            0.794213            0.660506
306             0.74109            0.643979
307            0.735236            0.632319
308            0.752106            0.679822
309            0.775658            0.664681
310            0.808584            0.642031
311            0.810516            0.623645
312            0.775067            0.642699
313             0.78106            0.610813
314            0.735575            0.612539
315            0.768634            0.594159
316            0.724313            0.599498
317            0.740725            0.582887
318            0.730251            0.579891
319            0.773289            0.579551
320            0.789548            0.584599
321            0.786434            0.576341
322            0.820842            0.591757
323             0.82484            0.614544
324            0.813062            0.627618
325            0.836182            0.680574
326            0.780418            0.641319
327            0.770547            0.652906
328            0.822957            0.649952
329            0.769073            0.659347
330             0.74428            0.634941
331            0.757843            0.636408
332            0.773648            0.662329
333            0.761681            0.658661
334            0.749683            0.654209
335            0.730663            0.621696
336             0.75676            0.635293
337             0.75956             0.60363
338            0.785525            0.620807
339            0.800112            0.611193
340            0.796619            0.642704
341            0.784268            0.635755
342            0.768259            0.619505
343            0.772512            0.599007
344             0.82419            0.602011
345            0.811338            0.598804
346            0.820903            0.593666
347            0.802274            0.600231
348            0.765312            0.595177
349            0.787673            0.617697
350            0.805759            0.612065
351            0.797483             0.61299
352             0.79976            0.552687
353            0.813865            0.635979
