#     BLOCK:   VELOCITY:     AVE_POFV:       ERROR:
           7     1.69799     8.05832    0.208594
           7     1.92439     8.26346    0.486055
           7     2.15079     9.13354    0.434019
           7     2.37719     11.3509     2.66058
           7     2.60359     10.4693     2.06129
           7     2.82999     8.01021    0.524279
           7     3.05639     5.70521    0.416959
           7     3.28278     5.66629    0.567858
           7     3.50918     4.48646     0.41526
           7     3.73558     3.83304    0.423808
           7     3.96198      2.4965    0.228957
           7     4.18838     1.92264    0.207618
           7     4.41478     1.13086   0.0626982
           7     4.64118      1.0795    0.276719
           7     4.86758    0.558821    0.151484
           7     5.09398    0.493286    0.137914
           7     5.32037    0.208286    0.053528
           7     5.54677    0.102321   0.0405001
           7     5.77317   0.0263214   0.0116614
           7     5.99957  0.00771429  0.00714204
           7     6.22597           0           0
           7     6.45237           0           0
           7     6.67877           0           0
           8    0.113199   0.0670625   0.0187855
           8    0.339598    0.653563    0.093111
           8    0.565997     1.60638   0.0957786
           8    0.792396     3.32581    0.397715
           8      1.0188     4.71209    0.594386
           8     1.24519     6.36331    0.676897
           8     1.47159     7.53722    0.704733
           8     1.69799     8.41731    0.382202
           8     1.92439     8.69334    0.585299
           8     2.15079     9.47575    0.496684
           8     2.37719     11.2444     2.33013
           8     2.60359     10.1112     1.83447
           8     2.82999     8.18825    0.488038
           8     3.05639     5.68181    0.365495
           8     3.28278     5.76231     0.50493
           8     3.50918     4.44791    0.365138
           8     3.73558     3.69456    0.392803
           8     3.96198     2.43069    0.209582
           8     4.18838     1.99713    0.194568
           8     4.41478     1.15822   0.0605375
           8     4.64118     1.05244    0.243449
           8     4.86758    0.532937    0.134742
           8     5.09398    0.449312    0.127493
           8     5.32037    0.236063   0.0535613
           8     5.54677    0.121687   0.0397993
           8     5.77317   0.0304062   0.0108957
           8     5.99957    0.008875   0.0063429
           8     6.22597           0           0
           8     6.45237           0           0
           8     6.67877           0           0
           9    0.113199     0.06975   0.0168893
           9    0.339598    0.628556   0.0860579
           9    0.565997     1.52983    0.111606
           9    0.792396     3.21214    0.369412
           9      1.0188     4.66119    0.530518
           9     1.24519     6.30944    0.603826
           9     1.47159     7.83242    0.685473
           9     1.69799     8.59756    0.379866
           9     1.92439     8.69481    0.520268
           9     2.15079     9.30994    0.468355
           9     2.37719     11.0616     2.07839
           9     2.60359     10.0941     1.63072
           9     2.82999     8.24742    0.437383
           9     3.05639     5.89178    0.380443
           9     3.28278     5.81456    0.451521
           9     3.50918     4.37069    0.332631
           9     3.73558     3.57942    0.365646
           9     3.96198     2.50156    0.197915
           9     4.18838       1.956    0.177242
           9     4.41478     1.21847   0.0782479
           9     4.64118     1.06681    0.216823
           9     4.86758    0.548722    0.120692
           9     5.09398       0.417     0.11735
           9     5.32037    0.211167   0.0530816
           9     5.54677    0.114306   0.0360553
           9     5.77317   0.0394167   0.0128828
           9     5.99957   0.0213611   0.0130525
           9     6.22597           0           0
           9     6.45237           0           0
           9     6.67877           0           0
          10    0.113199    0.063875     0.01619
          10    0.339598     0.63755   0.0779207
          10    0.565997     1.60638    0.123944
          10    0.792396      3.2521    0.334626
          10      1.0188     4.49808    0.501917
          10     1.24519      6.1969    0.553832
          10     1.47159     7.98722    0.634166
          10     1.69799     8.62622    0.342959
          10     1.92439     8.94615    0.525458
          10     2.15079     9.16863    0.442326
          10     2.37719     11.1336      1.8718
          10     2.60359     10.1356     1.46818
          10     2.82999     8.16162    0.401971
          10     3.05639     5.86095    0.343646
          10     3.28278     5.63217     0.44167
          10     3.50918     4.39113    0.299995
          10     3.73558      3.5022    0.337136
          10     3.96198     2.53465    0.180869
          10     4.18838     1.94922    0.159647
          10     4.41478     1.26308   0.0821577
          10     4.64118     1.01402    0.201462
          10     4.86758    0.559225    0.109079
          10     5.09398    0.381625    0.110819
          10     5.32037     0.28865   0.0876675
          10     5.54677     0.14985    0.046798
          10     5.77317      0.0401   0.0116127
          10     5.99957    0.019225   0.0119208
          10     6.22597           0           0
          10     6.45237           0           0
          10     6.67877           0           0
          11    0.113199   0.0610455   0.0149634
          11    0.339598    0.644841   0.0711773
          11    0.565997     1.63752    0.116524
          11    0.792396     3.30168    0.307856
          11      1.0188     4.48727    0.456405
          11     1.24519      6.1615    0.504614
          11     1.47159     8.08991    0.584768
          11     1.69799     8.76393      0.3383
          11     1.92439     9.17989    0.527118
          11     2.15079      9.1592    0.402215
          11     2.37719     10.7763     1.73538
          11     2.60359     9.96457     1.34463
          11     2.82999     8.12566    0.367033
          11     3.05639     5.80702    0.316608
          11     3.28278      5.5682    0.406124
          11     3.50918     4.34773    0.275844
          11     3.73558     3.52495    0.307254
          11     3.96198     2.59018    0.172741
          11     4.18838      1.9495    0.145134
          11     4.41478     1.38652      0.1394
          11     4.64118      1.0058    0.183316
          11     4.86758    0.560386   0.0991685
          11     5.09398    0.381659    0.100744
          11     5.32037    0.276091   0.0805923
          11     5.54677    0.148477   0.0425638
          11     5.77317   0.0709091   0.0312147
          11     5.99957   0.0292045   0.0144215
          11     6.22597           0           0
          11     6.45237           0           0
          11     6.67877           0           0
          12    0.113199   0.0567083   0.0143312
          12    0.339598    0.650667   0.0654839
          12    0.565997      1.5999    0.112725
          12    0.792396     3.28723    0.282541
          12      1.0188     4.46485    0.418921
          12     1.24519     6.15988    0.462565
          12     1.47159     8.05235    0.537242
          12     1.69799     8.95708    0.361062
