#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         154     -0.2776     -0.4544  0.00992031
         155     -0.2792    -0.45327  0.00992049
         156     -0.5168   -0.453677  0.00986526
         157     -0.4392   -0.453585  0.00980285
         158     -0.5192      -0.454   0.0097496
         159      -0.524    -0.45444  0.00969822
         160     -0.3608   -0.453855  0.00965525
         161     -0.5232   -0.454286  0.00960488
         162     -0.3632   -0.453723  0.00956203
         163     -0.2784   -0.452648  0.00956367
         164     -0.5984   -0.453537  0.00954656
         165     -0.6816   -0.454919  0.00958824
         166       -0.44   -0.454829   0.0095309
         167      -0.516   -0.455195  0.00948087
         168       -0.52   -0.455581  0.00943228
         169     -0.5232   -0.455981  0.00938495
         170     -0.5232   -0.456376  0.00933807
         171     -0.5224   -0.456763  0.00929144
         172     -0.7624    -0.45854   0.0094058
         173     -0.6792   -0.459815  0.00943752
         174     -0.6808   -0.461085  0.00946835
         175     -0.7592   -0.462789  0.00956627
         176     -0.3624   -0.462218   0.0095289
         177     -0.3624   -0.461654  0.00949174
         178     -0.4392   -0.461528  0.00943925
         179     -0.4392   -0.461403  0.00938734
         180     -0.2792   -0.460391  0.00938961
         181     -0.5208   -0.460725  0.00934366
         182     -0.2808   -0.459736  0.00934448
         183     -0.5216   -0.460074  0.00929953
         184     -0.3624   -0.459543  0.00926412
         185     -0.3584   -0.458997  0.00923017
         186     -0.0432   -0.456761  0.00944737
         187       -0.44   -0.456672  0.00939727
         188     -0.5184      -0.457  0.00935302
         189     -0.5144   -0.457304  0.00930846
         190     -0.3552   -0.456766  0.00927497
         191     -0.5136   -0.457064  0.00923118
         192     -0.2776   -0.456129  0.00923031
         193       -0.28   -0.455217  0.00922748
         194     -0.2808   -0.454318  0.00922361
         195     -0.5192    -0.45465  0.00918231
         196     -0.4408    -0.45458  0.00913574
         197     -0.2792   -0.453689  0.00913263
         198     -0.5184   -0.454016  0.00909236
         199     -0.5152   -0.454324  0.00905186
         200     -0.5968   -0.455036  0.00903459
         201     -0.5168   -0.455343  0.00899487
         202     -0.2776   -0.454463  0.00899327
         203     -0.4376    -0.45438  0.00894936
         204     -0.5176    -0.45469  0.00891085
         205     -0.5984   -0.455391  0.00889492
         206      -0.516   -0.455685   0.0088566
         207       -0.36   -0.455223  0.00882587
         208     -0.2792   -0.454377  0.00882392
         209     -0.5184   -0.454683  0.00878701
         210     -0.4448   -0.454636   0.0087453
         211     -0.4408   -0.454571  0.00870409
         212     -0.3624   -0.454136  0.00867389
         213     -0.5224   -0.454456  0.00863909
         214       -0.68    -0.45551  0.00866277
         215     -0.5992   -0.456179  0.00864822
         216     -0.6728   -0.457181  0.00866613
         217      -0.436   -0.457084  0.00862675
         218     -0.4392   -0.457002  0.00858756
         219     -0.3576   -0.456548  0.00856034
         220      -0.432   -0.456436  0.00852215
         221      -0.512   -0.456688   0.0084873
         222     -0.5128   -0.456941  0.00845283
         223     -0.6792   -0.457937  0.00847348
         224     -0.4384    -0.45785   0.0084361
         225     -0.2792   -0.457056  0.00843589
         226      -0.284    -0.45629  0.00843325
