#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1 9.76739e+08 9.76739e+08           0
           2 9.76739e+08 9.76739e+08           0
           3 9.76739e+08 9.76739e+08     6.53197
           4 9.76739e+08 9.76739e+08     5.65685
           5 9.76739e+08 9.76739e+08     7.15542
           6 9.76739e+08 9.76739e+08      4.6188
           7 9.76739e+08 9.76739e+08     7.40656
           8 9.76739e+08 9.76739e+08      6.9282
           9 9.76739e+08 9.76739e+08     6.53197
          10 9.76739e+08 9.76739e+08     7.15542
          11 9.76739e+08 9.76739e+08     8.35573
          12 9.76739e+08 9.76739e+08     8.64099
          13 9.76739e+08 9.76739e+08     8.30199
          14 9.76739e+08 9.76739e+08           8
          15 9.76739e+08 9.76739e+08     8.26236
          16 9.76739e+08 9.76739e+08           8
          17 9.76739e+08 9.76739e+08     7.76114
          18 9.76739e+08 9.76739e+08     6.53197
          19 9.76739e+08 9.76739e+08     6.86716
          20 9.76739e+08 9.76739e+08     6.69328
          21 9.76739e+08 9.76739e+08     6.53197
          22 9.76739e+08 9.76739e+08     7.23627
          23 9.76739e+08 9.76739e+08     7.07721
          24 9.76739e+08 9.76739e+08      6.9282
          25 9.76739e+08 9.76739e+08     6.78823
          26 9.76739e+08 9.76739e+08     7.01646
          27 9.76739e+08 9.76739e+08      6.8853
          28 9.76739e+08 9.76739e+08     6.76123
          29 9.76739e+08 9.76739e+08     6.64364
          30 9.76739e+08 9.76739e+08     6.53197
          31 9.76739e+08 9.76739e+08     6.42575
          32 9.76739e+08 9.76739e+08     6.32456
          33 9.76739e+08 9.76739e+08     6.22799
          34 9.76739e+08 9.76739e+08     6.13572
          35 9.76739e+08 9.76739e+08     6.04743
          36 9.76739e+08 9.76739e+08     5.33333
          37 9.76739e+08 9.76739e+08     5.26077
          38 9.76739e+08 9.76739e+08     5.19109
          39 9.76739e+08 9.76739e+08      5.1241
          40 9.76739e+08 9.76739e+08     4.73286
          41 9.76739e+08 9.76739e+08     4.32801
          42 9.76739e+08 9.76739e+08      3.9036
          43 9.76739e+08 9.76739e+08     4.56478
          44 9.76739e+08 9.76739e+08     4.17786
          45 9.76739e+08 9.76739e+08     4.13118
          46 9.76739e+08 9.76739e+08     3.73002
