#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
         171        0.12   0.0895906   0.0127976
         172        0.12   0.0897674   0.0127244
         173       -0.04   0.0890173    0.012673
         174        0.04   0.0887356   0.0126033
         175       -0.04       0.088   0.0125527
         176        0.12   0.0881818   0.0124827
         177        0.12   0.0883616   0.0124135
         178       -0.04   0.0876404   0.0123647
         179       -0.04   0.0869274   0.0123161
         180       -0.04   0.0862222   0.0122679
         181        0.04   0.0859669   0.0122028
         182        0.04   0.0857143   0.0121383
         183        0.08   0.0856831    0.012072
         184        0.12   0.0858696   0.0120079
         185       -0.08    0.084973   0.0119764
         186        0.16   0.0853763   0.0119188
         187           0   0.0849198   0.0118638
         188       -0.08   0.0840426   0.0118331
         189       -0.28   0.0821164   0.0119262
         190       -0.24   0.0804211   0.0119833
         191       -0.32   0.0783246   0.0121026
         192       -0.12   0.0772917   0.0120835
         193           0   0.0768912   0.0120276
         194        0.04    0.076701   0.0119671
         195       -0.04   0.0761026   0.0119207
         196        0.04   0.0759184   0.0118613
         197       -0.04   0.0753299   0.0118156
         198       -0.08   0.0745455    0.011782
         199       -0.24   0.0729648   0.0118283
         200       -0.16      0.0718   0.0118264
         201       -0.16   0.0706468   0.0118237
         202       -0.12    0.069703   0.0118027
         203       -0.12   0.0687685   0.0117815
         204       -0.12   0.0678431   0.0117601
         205       -0.08    0.067122   0.0117248
         206        -0.2   0.0658252   0.0117394
         207           0   0.0655072   0.0116869
         208       -0.04       0.065   0.0116418
         209       -0.08   0.0643062   0.0116067
         210        0.24   0.0651429   0.0115816
         211        0.04   0.0650237   0.0115273
         212        0.12    0.065283   0.0114758
         213        0.12   0.0655399   0.0114248
         214           0   0.0652336   0.0113755
         215       -0.04   0.0647442   0.0113332
         216       -0.36   0.0627778     0.01145
         217        -0.2   0.0615668   0.0114611
         218       -0.04   0.0611009    0.011418
         219       -0.12    0.060274   0.0113958
         220        -0.4   0.0581818   0.0115344
         221        -0.4   0.0561086   0.0116671
         222       -0.36   0.0542342   0.0117641
         223       -0.04   0.0538117   0.0117189
         224       -0.08   0.0532143   0.0116818
         225       -0.04      0.0528   0.0116373
         226         0.2   0.0534513    0.011604
