#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
         803        0.04      1.2672   0.0649075
         804        0.04     1.26567   0.0648447
         805        0.36     1.26455   0.0647739
         806        0.64     1.26377   0.0646982
         807        0.16      1.2624   0.0646325
         808        0.04     1.26089   0.0645702
         809        0.16     1.25953   0.0645047
         810        0.64     1.25877   0.0644296
         811        1.44     1.25899   0.0643506
         812        0.04     1.25749   0.0642888
         813        0.16     1.25614   0.0642239
         814        0.04     1.25464   0.0641624
         815        0.36     1.25355   0.0640931
         816        0.16     1.25221   0.0640285
         817        1.44     1.25244   0.0639506
         818        1.96      1.2533   0.0638782
         819        0.04     1.25182   0.0638174
         820        0.36     1.25073   0.0637489
         821        0.16      1.2494   0.0636851
         822           0     1.24788   0.0636257
         823        0.04     1.24642   0.0635653
         824        0.16      1.2451   0.0635019
         825        0.16     1.24378   0.0634385
         826        0.04     1.24232   0.0633784
         827        0.04     1.24087   0.0633185
         828        0.04     1.23942   0.0632586
         829        0.04     1.23797   0.0631988
         830        3.24     1.24039   0.0631687
         831        1.44     1.24063   0.0630932
         832        1.44     1.24087   0.0630178
         833           4     1.24418   0.0630291
         834        2.56     1.24576   0.0629733
         835           1     1.24546   0.0628986
         836           1     1.24517    0.062824
         837        2.56     1.24674   0.0627686
         838        2.56     1.24831   0.0627132
         839        0.16     1.24701   0.0626519
         840        0.16     1.24571   0.0625907
         841        0.36     1.24466   0.0625251
         842        2.56     1.24622   0.0624704
         843           1     1.24593    0.062397
         844        3.24     1.24829   0.0623677
         845           4     1.25155   0.0623789
         846        2.56      1.2531   0.0623243
         847        6.76      1.2596   0.0625889
         848        3.24     1.26193   0.0625587
         849        2.56     1.26346   0.0625037
         850        2.56     1.26499   0.0624488
         851        0.16     1.26369   0.0623889
         852        0.16     1.26239   0.0623291
         853        0.16      1.2611   0.0622694
         854        0.64     1.26037   0.0622008
         855        0.64     1.25965   0.0621322
         856        4.84     1.26383   0.0622003
         857           1     1.26352   0.0621285
         858        1.44     1.26373   0.0620564
         859        2.56     1.26524   0.0620025
         860        3.24     1.26753   0.0619729
         861        0.04     1.26611   0.0619173
         862        2.56     1.26761   0.0618637
         863        0.64     1.26688   0.0617963
         864        1.96     1.26769     0.06173
         865        0.36     1.26664   0.0616675
         866        0.04     1.26522   0.0616126
         867        0.36     1.26418   0.0615504
         868        1.96     1.26498   0.0614847
         869           0     1.26352   0.0614311
         870        0.16     1.26225   0.0613736
         871        0.64     1.26154   0.0613073
         872        1.96     1.26234   0.0612422
         873           4     1.26548   0.0612523
         874        1.44     1.26568   0.0611826
         875        0.64     1.26496   0.0611168
         876           1     1.26466   0.0610478
         877        3.24     1.26691   0.0610197
         878        1.96      1.2677   0.0609553
         879        2.56     1.26917   0.0609037
         880        1.96     1.26995   0.0608396
         881        4.84     1.27401   0.0609053
         882           1      1.2737   0.0608371
         883        3.24     1.27592   0.0608089
         884        3.24     1.27814   0.0607807
         885        2.56     1.27959   0.0607293
         886        0.04     1.27819   0.0606768
         887        0.36     1.27716   0.0606173
         888        0.04     1.27577    0.060565
         889        1.44     1.27595   0.0604972
         890           1     1.27564     0.06043
         891        0.36     1.27461   0.0603709
         892           1      1.2743    0.060304
         893        1.96     1.27507   0.0602414
         894        3.24     1.27727   0.0602141
         895        0.04     1.27589   0.0601626
         896        0.16     1.27464   0.0601084
         897        0.04     1.27327   0.0600571
         898        0.64     1.27256   0.0599944
         899        0.04     1.27119   0.0599433
         900        0.04     1.26982   0.0598923
         901           1     1.26952   0.0598266
         902        3.24     1.27171   0.0598001
         903        3.24     1.27389   0.0597736
         904        3.24     1.27606   0.0597471
         905        2.56     1.27748   0.0596979
         906        0.64     1.27678   0.0596361
         907        2.56     1.27819   0.0595872
         908        3.24     1.28035   0.0595607
         909        5.76     1.28528   0.0596987
         910        5.76      1.2902   0.0598353
         911           9     1.29866   0.0603651
         912           4     1.30162   0.0603716
         913        0.16     1.30037   0.0603184
         914        1.44     1.30053   0.0602526
         915        0.16     1.29928   0.0601996
         916        0.64     1.29856   0.0601382
         917           1     1.29823   0.0600735
         918        1.44     1.29839   0.0600083
         919        0.36     1.29737   0.0599517
         920        0.64     1.29665   0.0598908
         921        0.64     1.29594     0.05983
         922        0.04     1.29458   0.0597806
         923        1.44     1.29473    0.059716
         924        0.64     1.29403   0.0596556
         925        0.64     1.29332   0.0595953
         926           1       1.293   0.0595318
         927        0.04     1.29165   0.0594829
         928        0.04      1.2903   0.0594341
         929        0.64      1.2896   0.0593742
         930        0.36      1.2886   0.0593188
         931        0.64     1.28791   0.0592592
         932           1      1.2876   0.0591964
         933        1.44     1.28776   0.0591332
         934        1.44     1.28792   0.0590701
         935        0.64     1.28723    0.059011
         936        1.96     1.28795   0.0589523
         937           0     1.28657   0.0589054
         938           1     1.28627   0.0588434
         939        4.84     1.29005   0.0589023
         940        4.84     1.29383   0.0589606
         941        4.84      1.2976   0.0590183
         942        3.24     1.29966   0.0589916
         943        0.64     1.29896   0.0589332
         944        1.44     1.29911    0.058871
         945        0.04     1.29778   0.0588238
         946        0.64     1.29708   0.0587657
         947        0.64     1.29639   0.0587077
         948        0.36      1.2954   0.0586541
         949           0     1.29404   0.0586082
         950        0.36     1.29305   0.0585547
         951        0.16     1.29186   0.0585053
         952        0.36     1.29088    0.058452
         953        2.56     1.29221   0.0584058
         954        0.64     1.29153   0.0583486
         955        1.96     1.29223   0.0582917
         956        0.64     1.29155   0.0582347
         957           0      1.2902   0.0581895
         958        0.16     1.28902   0.0581407
         959           0     1.28767   0.0580957
         960        0.64       1.287   0.0580391
         961        0.04      1.2857   0.0579932
         962        0.36     1.28474   0.0579409
         963        0.36     1.28378   0.0578887
         964           0     1.28245   0.0578439
         965        0.16     1.28128   0.0577957
         966        0.16     1.28012   0.0577475
         967        0.16     1.27897   0.0576994
         968           0     1.27764   0.0576549
         969        0.16     1.27649    0.057607
         970           0     1.27518   0.0575626
         971           0     1.27386   0.0575183
         972           4     1.27667   0.0575275
         973        0.16     1.27552   0.0574798
         974           0     1.27421   0.0574357
         975        0.36     1.27327   0.0573844
         976           0     1.27197   0.0573405
         977        0.64     1.27132   0.0572854
         978        4.84     1.27497   0.0573429
         979           1     1.27469   0.0572851
         980        0.64     1.27404   0.0572303
         981        0.36     1.27311   0.0571795
         982        0.16     1.27198   0.0571325
         983        0.04     1.27072   0.0570881
         984           4      1.2735   0.0570975
         985        1.44     1.27366   0.0570397
         986        0.04     1.27241   0.0569956
         987        0.64     1.27177   0.0569415
         988        0.64     1.27113   0.0568874
         989        0.64      1.2705   0.0568335
         990        1.96     1.27119   0.0567803
         991        0.36     1.27027   0.0567305
         992        1.44     1.27044   0.0566736
         993        0.16     1.26933   0.0566275
         994        0.36     1.26841   0.0565779
         995        1.44     1.26858   0.0565213
         996        0.16     1.26747   0.0564755
         997        0.64     1.26684   0.0564224
         998           1     1.26657   0.0563665
         999        1.44     1.26675   0.0563104
        1000        0.16     1.26564   0.0562649
