           2     1.35759  0.00455956
         1.8     1.68503  0.00609974
       1.656      2.0223  0.00732344
       1.511     2.47564  0.00901136
       1.367     3.15158   0.0135859
       1.222     4.22959   0.0197389
       1.078     5.95879   0.0299967
       0.933     9.23769   0.0687615
       0.789     16.0934     0.15513
       0.644     33.9295    0.426888
         0.5      78.967    0.722153
         1.8     1.68302   0.0106668
       1.655     1.99998   0.0130707
       1.509      2.5021   0.0194549
       1.364     3.15997   0.0227531
       1.218     4.25022   0.0375504
       1.073     6.02906   0.0712316
       0.927     9.36226    0.136325
       0.782     16.8365    0.250422
       0.636     35.0565    0.907028
       0.491     80.3447     1.33732
       0.345     144.668     0.12575
         0.2         250           0
         1.8     1.68302   0.0106668
       1.655     1.99998   0.0130707
       1.509      2.5021   0.0194549
       1.364     3.15997   0.0227531
       1.218     4.25022   0.0375504
       1.073     6.02906   0.0712316
       0.927     9.36226    0.136325
       0.782     16.8365    0.250422
       0.491     80.0301     1.35676
         1.8     1.68302   0.0106668
       1.655     1.99998   0.0130707
       1.509      2.5021   0.0194549
       1.218      4.2512   0.0376246
