0 -1 0 0
1 -1 -1 0
2 -1 -1 1
3 -1 -1 2
4 -1 -2 2
5 -1 -2 3
6 -1 -2 4
7 -1 -3 4
8 0 -3 4
9 0 -3 3
10 0 -3 2
11 1 -3 2
12 1 -2 2
13 2 -2 2
14 2 -3 2
15 2 -3 3
16 2 -2 3
17 1 -2 3
18 2 -2 3
19 2 -2 4
20 2 -1 4
21 2 -2 4
22 2 -3 4
23 1 -3 4
24 1 -3 3
25 1 -2 3
26 1 -2 2
27 1 -3 2
28 1 -3 3
29 1 -3 4
30 1 -4 4
31 0 -4 4
32 0 -3 4
33 0 -4 4
34 0 -4 5
35 0 -5 5
36 0 -4 5
37 -1 -4 5
38 -2 -4 5
39 -2 -5 5
40 -2 -5 4
41 -2 -5 5
42 -2 -5 4
43 -2 -5 5
44 -2 -4 5
45 -2 -4 6
46 -2 -4 7
47 -2 -4 6
48 -2 -4 7
49 -3 -4 7
50 -2 -4 7
51 -3 -4 7
52 -4 -4 7
53 -4 -3 7
54 -3 -3 7
55 -4 -3 7
56 -4 -3 8
57 -4 -3 9
58 -3 -3 9
59 -3 -2 9
60 -4 -2 9
61 -5 -2 9
62 -5 -3 9
63 -4 -3 9
64 -5 -3 9
65 -5 -3 10
66 -5 -2 10
67 -5 -1 10
68 -6 -1 10
69 -6 -2 10
70 -7 -2 10
71 -7 -3 10
72 -8 -3 10
73 -8 -3 9
74 -7 -3 9
75 -8 -3 9
76 -8 -3 10
77 -8 -4 10
78 -8 -4 11
79 -8 -5 11
80 -8 -5 10
81 -8 -4 10
82 -9 -4 10
83 -9 -4 9
84 -9 -4 8
85 -9 -4 9
86 -9 -3 9
87 -8 -3 9
88 -9 -3 9
89 -9 -3 8
90 -9 -2 8
91 -9 -2 7
92 -9 -2 8
93 -9 -3 8
94 -9 -4 8
95 -9 -5 8
96 -10 -5 8
97 -11 -5 8
98 -11 -5 9
99 -11 -5 8
